Customer ID,recency,frequency,monetary,recency_score,frequency_score,monetary_score,RFM_Score,segment
12346.00,165,11,372.86,2,5,2.00,25,cant_loose
12347.00,3,2,1323.32,5,2,4.00,52,potential_loyalists
12348.00,74,1,222.16,2,1,1.00,21,hibernating
12349.00,43,3,2671.14,3,3,5.00,33,need_attention
12351.00,11,1,300.93,5,1,2.00,51,new_customers
12352.00,11,2,343.80,5,2,2.00,52,potential_loyalists
12353.00,44,1,317.76,3,1,2.00,31,about_to_sleep
12355.00,203,1,488.21,1,1,2.00,11,hibernating
12356.00,16,3,3562.25,4,3,5.00,43,potential_loyalists
12357.00,24,2,12079.99,4,2,5.00,42,potential_loyalists
12358.00,11,3,2719.01,5,3,5.00,53,potential_loyalists
12359.00,61,6,2563.36,3,4,5.00,34,loyal_customers
12360.00,15,5,1590.83,5,4,4.00,54,champions
12361.00,98,3,321.35,2,3,2.00,23,at_Risk
12362.00,374,1,130.00,1,1,1.00,11,hibernating
12366.00,269,1,500.24,1,1,2.00,11,hibernating
12368.00,264,1,917.70,1,1,3.00,11,hibernating
12369.00,49,3,1791.15,3,3,4.00,33,need_attention
12370.00,260,3,774.62,1,3,3.00,13,at_Risk
12371.00,45,3,2179.42,3,3,5.00,33,need_attention
12373.00,260,2,763.05,1,2,3.00,12,hibernating
12374.00,57,3,2246.29,3,3,5.00,33,need_attention
12376.00,25,2,503.15,4,2,2.00,42,potential_loyalists
12377.00,17,2,1798.20,4,2,4.00,42,potential_loyalists
12378.00,198,1,1407.70,1,1,4.00,11,hibernating
12379.00,58,2,767.98,3,2,3.00,32,about_to_sleep
12380.00,101,7,6951.49,2,5,5.00,25,cant_loose
12385.00,15,1,1938.40,5,1,4.00,51,new_customers
12386.00,2,1,258.90,5,1,2.00,51,new_customers
12387.00,51,1,143.94,3,1,1.00,31,about_to_sleep
12388.00,81,2,1120.45,2,2,4.00,22,hibernating
12389.00,38,3,1433.33,3,3,4.00,33,need_attention
12391.00,100,5,2312.53,2,4,5.00,24,at_Risk
12392.00,227,1,234.75,1,1,1.00,11,hibernating
12393.00,18,2,816.85,4,2,3.00,42,potential_loyalists
12395.00,7,4,2048.64,5,4,4.00,54,champions
12396.00,310,1,931.43,1,1,3.00,11,hibernating
12399.00,21,3,853.65,4,3,3.00,43,potential_loyalists
12400.00,50,1,205.25,3,1,1.00,31,about_to_sleep
12402.00,28,5,1031.30,4,4,4.00,44,loyal_customers
12403.00,157,1,591.66,2,1,3.00,21,hibernating
12404.00,318,1,63.24,1,1,1.00,11,hibernating
12406.00,35,3,2975.06,4,3,5.00,43,potential_loyalists
12408.00,21,3,1452.22,4,3,4.00,43,potential_loyalists
12409.00,56,4,12346.62,3,4,5.00,34,loyal_customers
12410.00,138,1,320.38,2,1,2.00,21,hibernating
12411.00,45,1,346.90,3,1,2.00,31,about_to_sleep
12412.00,38,3,1370.05,3,3,4.00,33,need_attention
12413.00,38,1,241.35,3,1,1.00,31,about_to_sleep
12414.00,99,3,390.00,2,3,2.00,23,at_Risk
12415.00,11,7,19543.84,5,5,5.00,55,champions
12416.00,292,1,202.56,1,1,1.00,11,hibernating
12417.00,46,11,3167.81,3,5,5.00,35,loyal_customers
12418.00,49,3,1352.62,3,3,4.00,33,need_attention
12419.00,21,2,503.01,4,2,2.00,42,potential_loyalists
12421.00,51,2,291.56,3,2,2.00,32,about_to_sleep
12422.00,30,14,4428.24,4,5,5.00,45,loyal_customers
12423.00,23,2,763.08,4,2,3.00,42,potential_loyalists
12424.00,58,2,1579.07,3,2,4.00,32,about_to_sleep
12425.00,84,1,964.21,2,1,3.00,21,hibernating
12426.00,298,1,762.48,1,1,3.00,11,hibernating
12427.00,7,1,303.50,5,1,2.00,51,new_customers
12429.00,1,5,3735.51,5,4,5.00,54,champions
12431.00,9,13,4370.52,5,5,5.00,55,champions
12433.00,2,5,7205.39,5,4,5.00,54,champions
12434.00,17,1,297.29,4,1,2.00,41,promising
12435.00,32,4,6096.04,4,4,5.00,44,loyal_customers
12437.00,31,21,7731.99,4,5,5.00,45,loyal_customers
12439.00,318,2,1158.18,1,2,4.00,12,hibernating
12440.00,98,2,859.20,2,2,3.00,22,hibernating
12441.00,2,1,173.55,5,1,1.00,51,new_customers
12443.00,368,1,485.31,1,1,2.00,11,hibernating
12445.00,56,1,301.58,3,1,2.00,31,about_to_sleep
12449.00,46,2,768.60,3,2,3.00,32,about_to_sleep
12450.00,35,3,490.32,4,3,2.00,43,potential_loyalists
